Prioriteit,Naam,Categorie,Bedrijf/Business,LinkedIn URL,Podcast(s),Aantal podcasts,Aflevering (YouTube),Onderbouwing
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Aad Ouborg,ONDERNEMER,Princess — huishoudelijke producten,https://nl.linkedin.com/in/aadouborg,quote-podcasts,1,https://www.youtube.com/watch?v=eMuqhSJEP6Q,herkenbaar merk/bedrijf: 'Princess'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Albert Jellema,VERMOGEND,De Aandeelhouder / ProBeleggen,https://nl.linkedin.com/in/albertjellema,lotgenoten,1,https://www.youtube.com/watch?v=Ifq4E-4HegM,handmatige review: eigen beleggingsplatform/content
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Allie Simonis,VERMOGEND,Simonis — visimperium (ex-arts),https://nl.linkedin.com/in/allie-simonis-79a320a4,dutch-dragons,1,https://www.youtube.com/watch?v=8Fw-kQ-A7e8,signalen: ['visimperium']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Anne Vedder,ONDERNEMER,Vedder — sieradenmerk,https://nl.linkedin.com/in/anne-vedder-35190542,quote-podcasts,1,https://www.youtube.com/watch?v=ckhaKJZDETI,signalen: ['sieradenmerk']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Arno Otto,VERMOGEND,ex-baas Videoland,https://nl.linkedin.com/in/arnootto,de-technoloog,1,https://www.youtube.com/watch?v=tE6f43lmmO0,signalen: ['ex-baas']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Bas Witvoet,VERMOGEND,"Investeerder (""draak"")",https://pt.linkedin.com/in/baswitvoet,quote-podcasts,1,https://www.youtube.com/watch?v=iXko68FGNSs,"signalen: ['investeerder', '""draak""']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Beau-Anne Chilla,VERMOGEND,partner bij deeptech-investeerder Forward,https://www.linkedin.com/in/bchilla/,de-technoloog,1,https://www.youtube.com/watch?v=cAQ3UTR0ZZ8,signalen: ['investeerder']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Benji Beesemer,VERMOGEND,Startup-investeerder,https://nl.linkedin.com/in/benji-beesemer,doorzetters,1,https://www.youtube.com/watch?v=ctOrD2YYkVU,signalen: ['investeerder']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Benno Leeser,VERMOGEND,Gassan Diamonds — luxe-imperium,,dutch-dragons,1,https://www.youtube.com/watch?v=WVEQmQsVQ-E,signalen: ['luxe-imperium']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Bert-Arjan Millenaar,VERMOGEND,NLC Health Ventures — health-venturebuilder,https://nl.linkedin.com/in/bamillenaar,dutch-dragons,1,https://www.youtube.com/watch?v=ptGKH5-qJ98,signalen: ['ventures']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Daniel Ropers,ONDERNEMER & VERMOGEND,Bol.com — oprichter/ex-CEO,https://nl.linkedin.com/in/ropers,dutch-dragons,1,https://www.youtube.com/watch?v=cppwupkL9BM,"signalen: ['oprichter', 'ceo', 'ex-ceo']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Devin Sloot,VERMOGEND,We-Trust — hedgefonds & trading,https://www.linkedin.com/in/devin-sloot,lotgenoten,1,https://www.youtube.com/watch?v=WO7eNfKjo3Y,"signalen: ['fonds', 'hedgefonds']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Didi Taihuttu,VERMOGEND,Bitcoin Family — crypto-investeerder,https://www.linkedin.com/in/diditaihuttu,lotgenoten,1,https://www.youtube.com/watch?v=FeWsvZxPgT8,"signalen: ['investeerder', 'crypto-investeerder', 'bitcoin family']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Diederik van der Reijt,VERMOGEND,NovaGen Group — investeringen,,dutch-dragons,1,https://www.youtube.com/watch?v=qeQXatAf2go,signalen: ['investeringen']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Dries Wajer,ONDERNEMER & VERMOGEND,Wajer Yachts,https://nl.linkedin.com/in/dries-wajer-32b287197,doorzetters,1,https://www.youtube.com/watch?v=SliHJm-1__8,"handmatige review: Wajer Yachts, bekend jachtbouwmerk"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Edward Hollander,ONDERNEMER & VERMOGEND,"Ondernemer, Quote 500",https://nl.linkedin.com/in/edward-hollander-a224b813a,quote-podcasts,1,https://www.youtube.com/watch?v=9L9dwXBIPiQ,"signalen: ['ondernemer', 'quote 500']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Eelko van Kooten,ONDERNEMER,Spinnin' Records — muzieklabel,https://nl.linkedin.com/in/eelko-van-kooten-78bb585a,quote-podcasts,1,https://www.youtube.com/watch?v=AzJVzOCMZ18,herkenbaar merk/bedrijf: 'Spinnin' Records'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Erik Mauritz,VERMOGEND,Trade Republic / Beurslicht — beleggen,https://www.linkedin.com/in/erik-mauritz-11294a6,lotgenoten,1,https://www.youtube.com/watch?v=6ikzZQ1bey8,handmatige review: beleggingsplatform Beurslicht
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Erik van Donselaar,ONDERNEMER,Ondernemer & avonturier,https://nl.linkedin.com/in/erik-van-donselaar-59703417,quote-podcasts,1,https://www.youtube.com/watch?v=UzIUGfLAYH8,signalen: ['ondernemer']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Esther Leloux,ONDERNEMER,WeAreEves — oprichter,,quote-podcasts,1,https://www.youtube.com/watch?v=QoycmJPdnM0,signalen: ['oprichter']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Esther Vedder,ONDERNEMER,Vedder — sieradenmerk,https://nl.linkedin.com/in/esther-vedder-3944a5183,quote-podcasts,1,https://www.youtube.com/watch?v=ckhaKJZDETI,signalen: ['sieradenmerk']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Feike Sijbesma,ONDERNEMER & VERMOGEND,"Ex-CEO DSM, commissaris Philips",https://es.linkedin.com/in/feike-sijbesma-99284639,doorzetters,1,https://www.youtube.com/watch?v=hJ7IB6ivfpc,"signalen: ['ceo', 'commissaris', 'ex-ceo']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Felicia Groenewoud,VERMOGEND,Aiconic — techfonds,https://nl.linkedin.com/in/felicia-groenewoud-874116193,dutch-dragons,1,https://www.youtube.com/watch?v=ERtz41c1R2A,signalen: ['fonds']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Frans van Houten,ONDERNEMER & VERMOGEND,Ex-CEO Philips,https://nl.linkedin.com/in/frans-van-houten-5b0a62a,dutch-dragons,1,https://www.youtube.com/watch?v=vjMwtUOiHQk,"signalen: ['ceo', 'ex-ceo']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Frits Moonen,VERMOGEND,"Vermogensadviseur (""wealth whisperer"")",https://nl.linkedin.com/in/fritsmoonen,quote-podcasts,1,https://www.youtube.com/watch?v=T2e04nc7jf4,"signalen: ['vermogensadviseur', 'wealth']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Gent Husaj,ONDERNEMER & VERMOGEND,Ondernemer & investeerder,https://www.linkedin.com/in/gent-husaj-a76054339,lotgenoten,1,https://www.youtube.com/watch?v=qkOkblGYWuc,"signalen: ['ondernemer', 'investeerder']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Gijs Groenevelt,ONDERNEMER,Grapedistrict — wijnwinkels,,quote-podcasts,1,https://www.youtube.com/watch?v=2yLfeppzEzs,herkenbaar merk/bedrijf: 'Grapedistrict'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Guillaume Philibert,ONDERNEMER,Filling Pieces — sneakermerk,https://nl.linkedin.com/in/guillaume-philibert-chin-b71a17b7,quote-podcasts,1,https://www.youtube.com/watch?v=h8Qakm_XEGc,herkenbaar merk/bedrijf: 'Filling Pieces'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Henk de Vries,ONDERNEMER,The Bulldog — coffeeshops & horeca,https://nl.linkedin.com/in/henk-de-vries,quote-podcasts,1,https://www.youtube.com/watch?v=cDBR8SaGZ90,herkenbaar merk/bedrijf: 'The Bulldog'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Henny de Haas,ONDERNEMER & VERMOGEND,"Ondernemer, Quote 500",https://nl.linkedin.com/in/hennydehaas,quote-podcasts,1,https://www.youtube.com/watch?v=wsYecRGwp-s,"signalen: ['ondernemer', 'quote 500']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Herman Hintzen,VERMOGEND,Henq — venture capital,https://nl.linkedin.com/in/hermanhintzen,doorzetters,1,https://www.youtube.com/watch?v=xOcwbWx98aE,"signalen: ['capital', 'venture capital']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Hugo de Koning,ONDERNEMER & VERMOGEND,YoungCapital — uitzendbureau,https://nl.linkedin.com/in/hugo-de-koning-3144aa7,dutch-dragons,1,https://www.youtube.com/watch?v=lhyFEOgE6eA,"signalen: ['bureau', 'capital']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Hylke Hertoghs,VERMOGEND,Marktlink Capital — private equity,https://nl.linkedin.com/in/hylke-hertoghs,dutch-dragons,1,https://www.youtube.com/watch?v=aRGBTm5xMQQ,"signalen: ['private equity', 'capital']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Igor Beuker,VERMOGEND,Augmento — trendwatcher & investeerder,https://www.linkedin.com/in/igorbeuker,lotgenoten,1,https://www.youtube.com/watch?v=ore7n98XmxA,signalen: ['investeerder']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Ilja Gort,ONDERNEMER & VERMOGEND,Wijnmaker (Château La Garde),https://nl.linkedin.com/in/ilja-gort-64090113,doorzetters,1,https://www.youtube.com/watch?v=lqgiwTytMKw,handmatige review: eigen chateau/wijnbedrijf Frankrijk
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Jaap de Bruijn,VERMOGEND,Coinmerce — crypto-exchange,https://nl.linkedin.com/in/jaapd1,lotgenoten,1,https://www.youtube.com/watch?v=RVnunquiDuk,signalen: ['crypto-exchange']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Jacqueline van den Ende,VERMOGEND,Carbon Equity — klimaatinvesteringen,https://nl.linkedin.com/in/jlvdende,doorzetters,1,https://www.youtube.com/watch?v=vo_H5bt6pr0,signalen: ['investeringen']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Jeroen Blokland,VERMOGEND,Blokland Smart Multi-Asset Fund,https://nl.linkedin.com/in/jeroenblokland,lotgenoten,1,https://www.youtube.com/watch?v=dezjrwRdDM0,"signalen: ['fund', 'multi-asset fund']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Jeroen van der Veer,ONDERNEMER & VERMOGEND,Ex-CEO Shell,https://nl.linkedin.com/in/jeroen-van-der-veer-a8830614,doorzetters,1,https://www.youtube.com/watch?v=L_UUe6gt8W8,"signalen: ['ceo', 'ex-ceo']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Joop van den Ende,ONDERNEMER & VERMOGEND,Endemol / Stage Entertainment,https://nl.linkedin.com/in/joop-van-den-ende-87583a6,doorzetters,1,https://www.youtube.com/watch?v=Mgp4kET6Pl8,"handmatige review: mediamagnaat, topvermogen NL"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Joran Prinssen,ONDERNEMER & VERMOGEND,iBOOD — dealsite,https://nl.linkedin.com/in/j%C3%B6ran-prinssen-1701301,lotgenoten,1,https://www.youtube.com/watch?v=vpARvJcPBXs,handmatige review: iBOOD dealsite
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Karen Brink,VERMOGEND,NovaGen Group — investeringen,https://nl.linkedin.com/in/karen-brink-9466588b,dutch-dragons,1,https://www.youtube.com/watch?v=qeQXatAf2go,signalen: ['investeringen']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Kenny Van Boxel,ONDERNEMER & VERMOGEND,Vastgoedinvesteringen VS,,lotgenoten,1,https://www.youtube.com/watch?v=0Oy5J2UuxzQ,"signalen: ['vastgoedinvesteringen', 'investeringen']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Koen Bender,VERMOGEND,Mercurius Vermogensbeheer,https://nl.linkedin.com/in/koen-bender,dutch-dragons,1,https://www.youtube.com/watch?v=2fW9nrZ_-kQ,signalen: ['vermogensbeheer']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Koen Thijssen,ONDERNEMER,Verzekeringstech-ondernemer,https://nl.linkedin.com/in/koen-thijssen-2558462a,quote-podcasts,1,https://www.youtube.com/watch?v=QoWcS0SpFgc,"signalen: ['ondernemer', 'tech-ondernemer']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Kristel Groenenboom,VERMOGEND,"Containerhandel — ""container queen""",https://nl.linkedin.com/in/kristel-groenenboom-b880491b,quote-podcasts,1,https://www.youtube.com/watch?v=ctNADdFGxRI,signalen: ['container queen']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Leen Zevenbergen,ONDERNEMER & VERMOGEND,Serieondernemer & investeerder,https://nl.linkedin.com/in/leen-zevenbergen,lotgenoten,1,https://www.youtube.com/watch?v=OwcSpYYW1Ek,"signalen: ['ondernemer', 'serieondernemer', 'investeerder']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Leftlanepapi,VERMOGEND,Crypto-investeerder,,lotgenoten,1,https://www.youtube.com/watch?v=eyIy_UpbdRw,"signalen: ['investeerder', 'crypto-investeerder']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Leslie de Ruiter,ONDERNEMER & VERMOGEND,Makelaar in topsegment vastgoed,https://nl.linkedin.com/in/lesliederuiter,dutch-dragons,1,https://www.youtube.com/watch?v=YFBV4dQ6uJc,"signalen: ['makelaar', 'topsegment vastgoed']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Lucas Wensing,VERMOGEND,Bedrijf verkocht aan KPN,https://nl.linkedin.com/in/lucaswensing,doorzetters,1,https://www.youtube.com/watch?v=bTxPlGNk2rs,signalen: ['verkocht aan']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Luke Belmar,VERMOGEND,Capital Club — online business,https://www.linkedin.com/in/lukebelmar,lotgenoten,1,https://www.youtube.com/watch?v=DlfTdYWlqXw,signalen: ['capital']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Luuk Halman,VERMOGEND,Wealth Wave — forex affiliate marketing,https://www.linkedin.com/in/luuk-halman-41b481161,lotgenoten,1,https://www.youtube.com/watch?v=IBmzPxHttnQ,signalen: ['wealth']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Maarten van den Biggelaar,ONDERNEMER,Mede-oprichter Quote — media,https://nl.linkedin.com/in/maartenv3,quote-podcasts,1,https://www.youtube.com/watch?v=hCTREHheBOw,"signalen: ['oprichter', 'mede-oprichter']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Marc Poorter,VERMOGEND,Vermogensexpert,https://nl.linkedin.com/in/marc-poorter-48a457142,doorzetters,1,https://www.youtube.com/watch?v=eMqqygfHbGs,signalen: ['vermogensexpert']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Marcel Melis,VERMOGEND,MGI Family Office — vastgoed,https://www.linkedin.com/in/marcelmelismgi,lotgenoten,1,https://www.youtube.com/watch?v=TyjFnd3fe3M,signalen: ['family office']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Marius Jansen,VERMOGEND,Deribit — crypto-exchange,https://nl.linkedin.com/in/mariusjansen,dutch-dragons,1,https://www.youtube.com/watch?v=vaa5W9lJ5A0,signalen: ['crypto-exchange']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Martijn Hamann,VERMOGEND,partner bij Endeit Capital,https://www.linkedin.com/in/martijnha/,de-technoloog,1,https://www.youtube.com/watch?v=5Azl1YuOlz0,signalen: ['capital']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Martin van den Brink,ONDERNEMER & VERMOGEND,technisch brein van ASML,https://nl.linkedin.com/in/martinvdbrink,de-technoloog,1,https://www.youtube.com/watch?v=_sxM2NpeR20,handmatige review: medeoprichter/CTO ASML — top-vermogen NL
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Matthijs Flierman,VERMOGEND,Commercieel vastgoed & dealmaking,https://nl.linkedin.com/in/mathijs-flierman-mre-mrics-40b4bb24,dutch-dragons,1,https://www.youtube.com/watch?v=vg8ZRI61iE4,handmatige review: vastgoed dealmaking
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Matthijs Metzemaekers,ONDERNEMER,Harver — HR-tech,https://nl.linkedin.com/in/matthijsmetzemaekers,quote-podcasts,1,https://www.youtube.com/watch?v=ZAKanI-ix88,herkenbaar merk/bedrijf: 'Harver'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Melvin Lassooy,ONDERNEMER & VERMOGEND,Vastgoedinvesteringen Dubai,https://ae.linkedin.com/in/melvin-lassooy-12356b140,lotgenoten,1,https://www.youtube.com/watch?v=AnAq4PdWxf0,"signalen: ['vastgoedinvesteringen', 'investeringen']"
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Menno Weij,VERMOGEND,partner bij SOLV Advocaten,https://www.linkedin.com/in/mennoweij/,de-technoloog,1,https://www.youtube.com/watch?v=6HcKHS7ezVo,handmatige review: kantoorpartner (mede-eigenaar advocatenkantoor)
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Merel Kooning,ONDERNEMER,Tandartsketen,,quote-podcasts,1,https://www.youtube.com/watch?v=AGWL1t1e8ZY,signalen: ['keten']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Merlin Melles,VERMOGEND,Netwerk & investeringen,https://nl.linkedin.com/in/merlinmelles,doorzetters,1,https://www.youtube.com/watch?v=gfkSrHUp8zc,signalen: ['investeringen']
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Michael Hendriks,ONDERNEMER,Farmaceutische industrie — medicijnen,https://nl.linkedin.com/in/michael-hendriks-75250629,quote-podcasts,1,https://www.youtube.com/watch?v=n2aTuIEPgHM,herkenbaar merk/bedrijf: 'Farmaceutische industrie'
P1 - Topprioriteit (vermogend/investeerder of ondernemer+vermogend),Michiel Frackers,ONDERNEMER & VERMOGEND,tech-ondernemer & investeerder,https://sg.linkedin.com/in/michielfrackers,de-technoloog,1,https://www.youtube.com/watch?v=DGvKXceTbM8,"signalen: ['ondernemer', 'tech-ondernemer', 'investeerder']"
